gender,faculty,age,has_scholarship,hours_studied_weekly,attendance_rate,previous_mark,exam_score
Male,Electrical Engineering,21,False,22.5,77.5,7.71,10.0
Female,Electrical Engineering,18,False,10.2,49.9,7.93,8.08
Male,Computer Science,21,True,6.8,73.3,6.37,7.24
Female,Electrical Engineering,19,False,24.1,67.1,5.74,8.98
Female,Psychology,19,False,3.4,61.6,8.19,7.48
Male,Computer Science,22,False,10.1,62.6,9.13,9.16
Female,Mathematics,21,False,10.9,67.9,6.37,7.45
Female,Mathematics,24,False,16.7,34.0,9.25,9.66
Female,Computer Science,23,False,11.8,63.0,7.81,8.5
Female,Nuclear Sciences,20,True,7.5,61.2,7.49,7.89
Female,Electrical Engineering,22,False,5.2,75.3,,7.23
Female,Psychology,23,False,8.3,61.9,5.98,6.67
Male,Mathematics,19,False,5.0,67.8,8.59,8.12
Male,Mathematics,21,False,10.2,85.4,6.65,7.89
Male,Psychology,22,True,7.2,79.9,6.64,7.63
Male,Psychology,21,False,2.5,79.0,8.59,7.97
Male,Computer Science,19,False,16.3,65.0,5.43,7.55
Male,Psychology,22,True,7.5,75.4,5.82,7.01
Female,Electrical Engineering,19,False,3.7,67.7,7.48,7.14
Male,Mathematics,18,True,9.2,,7.82,8.51
Male,Computer Science,19,False,10.3,74.1,8.03,8.65
Female,Electrical Engineering,24,False,1.3,64.0,7.17,6.49
Male,Computer Science,24,False,11.7,84.9,10.28,10.0
Female,Mathematics,21,False,4.8,68.4,7.25,7.16
Male,Computer Science,20,False,18.6,76.2,7.25,9.39
Female,Mathematics,19,False,12.6,84.6,6.62,8.22
Female,Electrical Engineering,23,False,8.0,80.3,7.64,8.15
Male,Psychology,24,False,6.3,55.9,8.18,7.79
Male,Computer Science,20,False,9.5,74.4,8.82,9.09
Female,Electrical Engineering,18,True,13.1,78.5,5.86,7.94
Female,Electrical Engineering,22,False,9.9,78.9,7.23,8.12
Female,Electrical Engineering,22,True,8.9,58.9,7.99,8.41
Female,Computer Science,24,False,10.3,63.4,8.15,8.52
Male,Mathematics,20,False,7.0,79.9,7.51,7.9
Male,Nuclear Sciences,24,False,8.3,62.4,8.1,8.16
Male,Electrical Engineering,22,False,-0.4,67.0,,5.91
Female,Computer Science,19,False,14.9,85.8,9.21,10.0
Female,Computer Science,20,False,11.5,69.5,8.59,9.13
Male,Mathematics,21,True,6.1,62.7,6.02,6.68
Male,Nuclear Sciences,19,True,19.5,61.2,6.32,8.87
Male,Psychology,19,True,10.4,73.3,6.35,7.77
Male,Mathematics,19,False,4.8,56.7,8.25,7.63
Female,Computer Science,21,True,14.3,67.5,6.09,8.06
Female,Psychology,18,False,12.0,73.3,7.14,8.26
Female,Electrical Engineering,23,False,12.0,83.0,8.0,9.06
Male,Mathematics,24,True,,76.7,7.43,8.22
Male,Electrical Engineering,22,False,12.3,,7.78,8.55
Female,Nuclear Sciences,24,False,8.7,81.8,6.33,7.37
Female,Computer Science,20,True,12.8,67.0,8.15,9.26
Female,Psychology,18,False,0.5,57.6,6.83,6.01
Female,Mathematics,20,False,7.8,68.3,7.14,7.53
Male,Electrical Engineering,24,False,18.6,84.4,7.76,9.91
Female,Psychology,22,False,6.2,71.7,7.61,7.69
Male,Psychology,21,False,7.0,70.1,7.53,7.72
Male,Electrical Engineering,24,False,,86.4,6.67,7.57
Male,Mathematics,19,True,3.9,55.7,7.17,7.02
Male,Nuclear Sciences,24,False,-1.0,57.1,7.5,6.24
Female,Psychology,19,False,8.8,53.8,5.99,6.59
Male,Computer Science,21,True,10.7,73.7,6.99,8.27
Male,Psychology,24,False,9.7,71.7,7.93,8.44
Female,Electrical Engineering,18,False,9.3,,6.09,7.37
Male,Mathematics,18,False,10.2,72.4,8.77,9.12
Male,Electrical Engineering,20,False,15.1,66.0,8.9,9.82
Female,Nuclear Sciences,21,False,9.0,70.0,6.13,7.04
Male,Mathematics,18,False,7.1,71.2,8.99,8.78
Male,Nuclear Sciences,24,False,8.6,53.3,7.34,7.49
Male,Computer Science,21,False,12.9,97.1,7.96,9.45
Male,Computer Science,22,False,17.1,75.2,6.95,8.93
Female,Computer Science,19,False,6.9,72.1,8.52,8.44
Female,Electrical Engineering,24,False,10.5,76.2,7.95,8.66
Female,Psychology,19,False,,77.1,6.6,7.92
Female,Computer Science,19,False,5.0,68.6,6.22,6.48
Female,Mathematics,21,False,10.1,63.7,5.89,6.91
Male,Psychology,21,True,2.7,76.0,7.71,7.62
Female,Computer Science,20,False,1.2,73.9,8.13,7.35
Female,Electrical Engineering,19,False,11.8,61.9,8.22,8.76
Female,Electrical Engineering,20,True,8.1,84.2,,8.36
Female,Psychology,19,False,11.0,72.9,,7.47
Male,Nuclear Sciences,20,False,9.9,77.3,6.75,7.76
Male,Mathematics,20,False,5.1,83.9,8.77,8.58
Male,Nuclear Sciences,22,True,9.8,70.2,6.97,8.05
Male,Psychology,20,False,3.8,73.2,7.66,7.4
Female,Psychology,21,False,17.0,78.1,6.32,8.54
Female,Computer Science,20,True,,62.8,7.87,7.54
Male,Electrical Engineering,19,False,9.0,70.5,7.0,7.66
Female,Mathematics,20,False,4.8,71.3,8.65,8.2
Male,Computer Science,18,True,12.9,60.4,8.35,9.29
Male,Computer Science,23,False,8.3,93.2,6.95,7.97
Male,Psychology,19,False,7.4,55.9,7.36,7.38
Male,Psychology,18,False,14.3,57.0,6.89,8.11
Female,Electrical Engineering,19,True,,83.1,5.94,7.64
Male,Electrical Engineering,21,True,12.6,77.1,6.56,8.32
Female,Computer Science,23,True,5.1,59.7,7.72,7.66
Female,Electrical Engineering,23,False,3.0,76.1,7.86,7.47
Male,Computer Science,21,False,10.5,84.7,7.66,8.63
Female,Electrical Engineering,23,True,8.4,69.7,7.17,7.97
Female,Electrical Engineering,21,True,13.1,96.0,8.53,10.0
Male,Psychology,18,False,9.6,52.8,7.57,7.79
Male,Electrical Engineering,22,False,11.0,76.9,8.27,8.98
Male,Mathematics,19,False,1.9,81.7,5.55,5.8
Male,Mathematics,21,False,19.4,78.9,3.19,6.72
Male,Electrical Engineering,19,False,9.2,68.0,7.81,8.21
Female,Mathematics,18,True,,67.1,5.93,7.82
Male,Mathematics,22,False,5.8,74.4,7.27,7.45
Male,Mathematics,18,False,11.5,78.2,7.17,8.31
Male,Electrical Engineering,23,False,3.5,76.0,9.25,8.52
Female,Mathematics,19,False,12.3,80.4,7.94,9.01
Male,Computer Science,24,True,8.2,59.8,7.68,8.1
Male,Electrical Engineering,22,True,10.1,67.7,8.42,9.06
Male,Electrical Engineering,23,False,13.5,60.6,7.91,8.77
Female,Computer Science,22,True,3.8,66.1,7.0,7.09
Male,Computer Science,23,True,6.6,80.2,8.68,8.97
Female,Computer Science,18,True,12.3,71.1,6.28,7.96
Female,Mathematics,21,True,20.5,96.1,7.86,10.0
Male,Mathematics,19,False,9.3,71.9,,6.89
Female,Electrical Engineering,20,True,13.0,70.6,7.72,9.07
Male,Psychology,20,False,9.5,71.1,7.71,8.24
Female,Psychology,18,False,19.7,63.6,9.34,10.0
Female,Mathematics,19,False,,69.4,5.78,5.63
Female,Electrical Engineering,19,True,10.5,81.3,,8.29
Male,Mathematics,18,False,1.9,71.1,8.4,7.59
Female,Nuclear Sciences,19,True,-2.5,62.1,7.87,6.68
Male,Psychology,21,False,11.5,60.7,7.7,8.33
Male,Computer Science,18,False,10.7,65.5,6.45,7.43
Male,Psychology,21,False,8.6,70.7,6.85,7.5
Female,Mathematics,19,False,9.5,81.9,8.87,9.27
Female,Psychology,18,False,,56.6,7.44,10.0
Male,Computer Science,19,False,8.7,,,8.18
Female,Computer Science,18,False,12.6,71.4,7.37,8.48
Male,Electrical Engineering,19,False,6.8,51.7,6.2,6.39
Female,Computer Science,21,False,11.5,61.7,8.53,8.93
Male,Electrical Engineering,24,False,8.8,63.2,8.05,8.22
Female,Mathematics,21,False,7.9,62.0,10.04,9.45
Male,Psychology,19,False,19.1,71.9,6.38,8.77
Female,Psychology,18,False,15.9,68.4,8.4,9.63
Male,Psychology,20,False,10.7,64.4,6.06,7.13
Male,Mathematics,21,True,-1.5,74.3,7.67,6.93
Male,Computer Science,21,False,8.2,87.2,8.57,8.97
Female,Computer Science,23,True,23.5,86.4,5.22,9.21
Female,Mathematics,20,False,8.8,50.8,7.27,7.42
Male,Psychology,19,True,15.5,75.8,,8.96
Female,Nuclear Sciences,24,True,17.2,68.2,6.73,8.96
Female,Electrical Engineering,18,False,,71.6,7.92,8.64
Female,Electrical Engineering,23,False,5.8,66.0,8.73,8.3
Female,Electrical Engineering,19,True,-2.2,71.2,7.35,6.54
Male,Psychology,22,False,13.4,71.5,7.73,8.85
Male,Mathematics,24,True,5.9,64.2,7.63,7.81
Female,Nuclear Sciences,21,True,10.9,61.0,7.5,8.41
Female,Psychology,22,False,3.8,65.5,,6.29
Female,Psychology,21,False,8.7,72.3,8.72,8.86
Male,Computer Science,21,True,10.2,76.0,7.82,8.82
Male,Mathematics,22,False,11.3,78.5,7.93,8.82
Female,Mathematics,24,True,4.4,65.1,6.61,6.89
Female,Electrical Engineering,22,False,16.0,72.8,6.99,8.75
Female,Psychology,19,False,7.0,79.6,7.31,7.76
Female,Mathematics,23,False,1.6,,5.81,5.94
Female,Nuclear Sciences,23,False,9.5,69.4,5.64,6.76
Male,Computer Science,22,False,10.2,67.8,6.84,7.67
Male,Mathematics,19,False,10.8,71.9,8.07,8.71
Female,Computer Science,23,True,16.8,58.5,6.78,8.74
Female,Electrical Engineering,19,False,8.8,68.1,6.38,7.15
Male,Nuclear Sciences,19,False,9.4,77.4,,7.58
Male,Mathematics,21,True,4.5,76.4,7.0,7.4
Female,Electrical Engineering,23,True,14.1,,7.11,8.74
Male,Mathematics,23,False,10.9,72.2,9.88,10.0
Male,Nuclear Sciences,21,False,7.9,61.8,8.66,8.48
Female,Electrical Engineering,22,True,0.5,77.0,,7.96
Female,Electrical Engineering,21,True,17.2,69.2,8.79,10.0
Female,Computer Science,23,False,,67.2,6.4,6.41
Male,Nuclear Sciences,23,False,7.0,66.4,6.16,6.69
Female,Electrical Engineering,24,False,11.8,69.4,6.28,7.55
Male,Mathematics,22,False,4.0,65.5,8.97,8.19
Male,Electrical Engineering,21,True,2.5,76.6,6.9,7.04
Female,Mathematics,18,False,-0.6,66.0,6.12,5.51
Female,Electrical Engineering,18,False,13.6,85.9,7.03,8.68
Female,Computer Science,22,False,7.3,84.7,7.24,7.86
Female,Electrical Engineering,21,True,24.6,61.1,7.8,10.0
Female,Psychology,21,False,5.0,70.7,7.78,7.61
Male,Computer Science,19,False,5.4,63.5,6.59,6.69
Male,Computer Science,23,False,7.2,66.7,8.25,8.19
Male,Computer Science,20,False,11.2,90.0,6.8,8.24
Male,Mathematics,24,True,7.6,66.9,7.33,7.91
Female,Mathematics,22,False,13.1,73.6,8.26,9.22
Male,Psychology,20,False,5.1,75.4,6.79,7.03
Female,Mathematics,20,False,3.1,60.0,6.87,6.47
Female,Mathematics,22,False,1.0,61.4,8.15,7.08
Female,Electrical Engineering,21,False,-1.1,57.9,6.56,5.58
Male,Computer Science,22,False,7.4,61.1,7.08,7.29
Female,Nuclear Sciences,20,False,8.5,41.5,8.11,7.78
Male,Electrical Engineering,23,True,6.8,75.4,9.76,9.66
Male,Psychology,24,False,16.2,90.5,8.17,9.96
Female,Psychology,24,False,16.1,71.5,,9.46
Male,Electrical Engineering,23,False,8.3,55.8,8.08,8.02
Male,Computer Science,23,False,1.0,,6.32,5.85
Female,Computer Science,21,False,7.2,65.4,7.63,7.73
Male,Computer Science,18,False,7.0,59.8,7.47,7.47
Female,Electrical Engineering,22,False,6.7,78.6,7.85,8.07
Female,Computer Science,24,False,6.5,78.1,7.63,7.88
Female,Psychology,23,False,,58.4,7.92,7.72
Male,Nuclear Sciences,22,True,8.1,77.3,7.16,8.07
Male,Electrical Engineering,24,True,6.8,85.3,7.56,8.32
Female,Psychology,23,False,11.0,89.0,6.15,7.74
Male,Computer Science,24,True,11.8,98.7,,9.05
Female,Electrical Engineering,21,True,,61.0,9.03,8.65
Female,Psychology,18,False,16.4,,7.85,9.92
Female,Computer Science,18,False,5.1,66.5,7.48,7.33
Male,Computer Science,23,False,1.9,64.1,9.59,8.28
Male,Nuclear Sciences,24,False,11.9,73.3,6.0,7.45
Female,Psychology,21,False,5.9,64.2,6.28,6.56
Male,Electrical Engineering,19,False,11.6,74.0,9.38,9.79
Male,Electrical Engineering,22,True,-2.0,56.8,7.55,6.42
Female,Psychology,22,False,17.0,67.6,7.23,8.96
Female,Psychology,20,False,,82.9,6.18,7.99
Female,Mathematics,21,False,2.5,69.4,7.99,7.36
Female,Mathematics,24,False,2.6,71.4,8.1,7.49
Male,Mathematics,20,False,18.4,74.8,6.3,8.67
Female,Electrical Engineering,23,True,6.3,81.7,7.35,8.02
Female,Psychology,24,False,5.8,53.4,7.13,6.93
Male,Electrical Engineering,20,False,-1.3,75.8,7.78,6.77
Female,Mathematics,18,False,8.2,67.3,6.27,6.96
Female,Psychology,22,True,8.9,71.7,8.88,9.28
Female,Psychology,24,False,13.6,80.6,8.51,9.61
Female,Psychology,20,False,3.0,58.1,7.1,6.58
Female,Electrical Engineering,18,True,2.4,59.9,7.26,6.94
Male,Computer Science,21,False,12.3,50.6,7.35,8.0
Male,Psychology,20,False,15.0,64.5,6.64,8.19
Female,Computer Science,23,False,2.1,83.3,7.01,6.89
Female,Mathematics,23,False,15.4,68.8,7.2,8.73
Female,Mathematics,23,False,10.2,56.6,9.27,9.15
Female,Psychology,24,False,15.5,65.1,8.54,9.6
Female,Nuclear Sciences,22,False,9.6,55.1,8.53,8.51
Male,Psychology,20,True,-2.6,58.7,7.91,6.62
Female,Electrical Engineering,21,False,9.2,73.9,6.27,7.25
Female,Psychology,20,True,15.3,58.3,7.45,8.98
Female,Psychology,22,True,,81.1,8.57,8.75
Female,Computer Science,18,False,8.1,69.3,6.12,6.88
Female,Mathematics,22,False,9.1,70.9,8.2,8.52
Male,Mathematics,23,False,-4.5,67.2,,7.7
Male,Mathematics,24,False,18.4,77.7,,10.0
Male,Computer Science,18,False,5.5,77.8,9.06,8.72
Female,Computer Science,24,True,12.5,73.4,7.74,9.06
Male,Mathematics,23,False,9.6,75.6,8.56,8.94
Male,Nuclear Sciences,19,False,16.3,67.9,6.71,8.5
Female,Mathematics,22,False,12.0,75.4,8.38,9.17
Male,Mathematics,22,False,8.8,66.6,8.22,8.41
Female,Computer Science,21,False,,70.0,7.82,7.7
Male,Psychology,20,False,14.0,67.3,8.95,9.71
Male,Mathematics,18,True,0.6,65.4,6.91,6.53
Female,Computer Science,24,False,13.2,63.1,7.29,8.34
Male,Psychology,18,False,,,7.61,7.5
Male,Computer Science,21,False,16.3,83.1,6.37,8.57
Female,Computer Science,21,True,10.8,81.7,7.75,8.98
Female,Computer Science,24,False,13.2,57.4,5.61,7.06
Male,Computer Science,20,True,10.4,82.9,8.65,9.57
Female,Computer Science,24,False,1.2,66.8,7.55,6.8
Male,Mathematics,24,False,5.7,76.0,6.93,7.23
Male,Electrical Engineering,23,True,13.4,60.9,6.58,8.13
Female,Psychology,20,False,10.8,71.4,7.24,8.12
Female,Psychology,22,True,15.9,73.1,8.26,9.93
Female,Mathematics,23,False,12.0,55.2,8.1,8.57
Female,Nuclear Sciences,19,False,5.2,76.1,6.72,7.01
Female,Mathematics,20,True,,83.5,6.57,7.47
Female,Computer Science,21,True,10.5,68.3,8.22,9.0
Male,Psychology,23,False,-1.6,83.6,6.71,6.13
Female,Computer Science,20,True,18.4,68.1,7.57,9.72
Male,Mathematics,18,True,12.2,78.5,7.64,9.05
Male,Psychology,24,False,16.1,47.8,7.84,8.86
Male,Electrical Engineering,19,False,2.1,94.2,8.44,8.11
Male,Mathematics,22,False,16.2,85.0,6.11,8.41
Female,Electrical Engineering,24,True,21.2,67.2,5.4,8.6
Female,Nuclear Sciences,18,True,3.4,50.3,6.88,6.63
Female,Computer Science,18,True,13.9,72.9,9.48,10.0
Male,Mathematics,19,True,10.0,55.6,9.72,9.72
Male,Mathematics,22,False,,74.4,9.51,8.49
Male,Mathematics,21,False,12.5,74.1,7.29,8.46
Male,Mathematics,23,True,14.2,60.6,5.54,7.52
Female,Nuclear Sciences,22,False,7.0,81.2,4.92,6.12
Female,Electrical Engineering,20,False,15.8,78.1,6.82,8.71
Female,Psychology,18,False,1.7,79.8,7.28,6.95
Male,Mathematics,20,False,2.5,70.1,8.93,8.03
Female,Electrical Engineering,21,False,10.7,55.8,,8.64
Female,Nuclear Sciences,20,True,10.1,,7.75,8.84
Female,Electrical Engineering,22,True,6.4,67.3,6.52,7.17
Female,Computer Science,20,False,14.0,56.1,6.44,7.73
Male,Psychology,21,True,12.7,83.5,7.78,9.32
Male,Computer Science,21,False,14.3,91.0,8.27,9.75
Male,Mathematics,21,False,9.4,69.6,7.93,8.35
Female,Computer Science,22,False,13.0,91.6,6.36,8.23
Male,Psychology,21,False,7.8,70.9,8.22,8.34
Male,Psychology,18,False,20.3,66.2,7.97,9.95
Male,Computer Science,24,False,5.9,63.7,6.32,6.58
Male,Mathematics,21,False,20.5,86.4,6.64,9.45
Female,Mathematics,20,True,10.2,62.2,8.26,8.86
Female,Mathematics,23,False,,,7.24,7.08
Male,Computer Science,20,True,,64.4,9.25,10.0
Male,Mathematics,23,False,10.6,65.4,8.05,8.53
Male,Electrical Engineering,20,False,14.3,80.3,6.96,8.62
Male,Computer Science,22,False,16.1,66.2,7.49,8.98
Male,Computer Science,20,False,11.7,66.0,7.57,8.37
Male,Mathematics,22,False,7.0,81.3,6.7,7.37
Male,Nuclear Sciences,22,False,14.9,86.0,6.5,8.51
Female,Psychology,21,True,10.0,76.4,8.27,9.12
Female,Psychology,18,False,13.4,63.5,8.43,9.18
Male,Mathematics,23,False,-0.8,,8.16,6.89
Male,Psychology,21,False,12.2,70.8,9.17,9.66
Female,Computer Science,21,False,6.8,73.2,6.9,7.31
Male,Psychology,24,True,18.3,60.1,9.34,10.0
Female,Nuclear Sciences,22,False,13.1,77.2,6.51,8.07
Female,Psychology,22,False,,70.9,6.39,7.57
Male,Electrical Engineering,23,False,12.4,52.8,5.56,6.81
Male,Electrical Engineering,20,True,5.0,60.7,7.01,7.17
Female,Computer Science,20,False,18.1,65.0,6.95,8.88
Male,Nuclear Sciences,21,False,20.0,69.3,8.08,10.0
Female,Computer Science,19,True,12.0,88.9,7.77,9.32
Female,Psychology,19,False,18.0,72.4,6.19,8.48
Female,Computer Science,20,False,7.2,61.6,7.07,7.26
Male,Computer Science,19,False,6.0,72.2,7.09,7.31
Female,Mathematics,24,False,10.2,66.5,5.55,6.74
Male,Mathematics,20,False,12.2,73.2,6.42,7.79
Female,Mathematics,22,False,8.0,75.8,6.65,7.37
Female,Psychology,21,False,12.7,82.1,9.08,9.9
Male,Computer Science,18,True,11.5,69.8,7.71,8.82
Female,Computer Science,21,True,5.0,86.4,8.23,8.54
Female,Psychology,20,False,12.6,79.1,5.85,7.57
Male,Mathematics,24,False,14.3,62.9,8.81,9.57
Male,Electrical Engineering,20,True,10.9,92.1,8.93,10.0
Male,Psychology,21,False,15.8,73.3,5.3,7.55
Male,Electrical Engineering,24,False,3.9,61.6,,6.52
Male,Psychology,24,True,12.3,86.5,8.05,9.51
Female,Mathematics,24,False,4.1,90.8,,8.18
Male,Psychology,23,True,4.4,69.7,6.75,7.08
Male,Mathematics,20,False,6.8,65.0,7.16,7.33
Female,Mathematics,19,False,5.3,68.3,6.84,6.95
Male,Electrical Engineering,19,False,7.3,77.1,7.62,7.97
Female,Mathematics,20,True,8.9,,8.82,9.46
Male,Electrical Engineering,20,False,14.2,75.7,6.65,8.3
Male,Electrical Engineering,23,False,8.4,71.0,8.6,8.7
Female,Electrical Engineering,19,False,2.1,85.0,6.64,6.66
Female,Nuclear Sciences,20,True,15.7,66.9,6.57,8.59
Female,Mathematics,20,False,5.8,80.3,8.4,8.36
Female,Mathematics,23,False,9.7,67.1,8.51,8.75
Female,Psychology,23,False,12.2,74.3,8.44,9.22
Male,Mathematics,21,False,11.0,68.9,6.05,7.26
Male,Psychology,23,False,15.5,69.4,6.99,8.61
Female,Electrical Engineering,18,False,12.4,66.2,8.41,9.07
Female,Psychology,19,True,5.7,83.4,,8.11
Female,Mathematics,21,False,20.9,62.7,6.32,8.81
Male,Computer Science,18,True,11.0,62.6,8.0,8.8
Male,Mathematics,20,False,9.3,91.2,6.71,7.92
Female,Computer Science,20,True,14.8,79.8,9.47,10.0
Male,Electrical Engineering,21,False,11.2,46.1,9.2,9.04
Female,Mathematics,23,True,12.0,64.3,8.16,9.1
Female,Computer Science,24,False,22.5,51.9,9.0,10.0
Male,Computer Science,24,False,8.6,,7.57,7.8
Female,Psychology,20,True,8.4,38.6,8.34,8.17
Female,Psychology,24,True,10.6,68.6,9.13,9.65
Male,Mathematics,22,True,15.4,58.6,7.77,9.22
Female,Computer Science,21,False,2.5,,7.22,6.84
Male,Mathematics,18,False,0.2,,5.62,5.04
Female,Mathematics,21,False,7.1,,7.41,7.67
Male,Psychology,19,True,,65.9,8.41,7.78
Female,Psychology,23,False,7.9,85.0,8.54,8.86
Male,Mathematics,23,False,12.5,84.1,8.05,9.19
Male,Computer Science,21,False,5.5,77.9,6.9,7.21
Female,Nuclear Sciences,20,False,2.9,66.7,5.33,5.5
Male,Mathematics,20,True,10.3,89.9,6.96,8.52
Male,Psychology,22,True,14.3,54.5,7.17,8.55
Female,Computer Science,22,True,1.5,56.0,7.16,6.66
Female,Mathematics,23,True,14.1,69.2,8.18,9.52
Female,Computer Science,22,True,14.1,92.5,9.68,10.0
Female,Psychology,18,True,14.8,68.0,7.64,9.23
Male,Nuclear Sciences,22,False,16.1,68.2,7.26,8.86
Male,Mathematics,18,False,21.0,55.6,7.21,9.31
Male,Computer Science,22,False,8.2,79.5,7.64,8.17
Female,Computer Science,23,False,10.5,79.5,6.59,7.78
Female,Mathematics,23,False,7.9,77.9,7.63,8.08
Female,Computer Science,18,True,10.0,63.7,,8.67
Female,Computer Science,21,False,,62.9,7.73,9.32
Male,Electrical Engineering,23,True,3.3,57.1,8.0,7.54
Male,Mathematics,21,False,5.7,70.8,7.98,7.86
Male,Mathematics,20,False,16.9,59.2,5.55,7.6
Female,Nuclear Sciences,18,False,15.1,58.2,8.2,9.17
Male,Computer Science,24,True,8.2,65.8,6.76,7.58
Female,Nuclear Sciences,23,True,14.3,65.1,6.29,8.15
Male,Mathematics,19,False,11.7,64.6,6.29,7.45
Male,Electrical Engineering,20,True,17.5,74.7,7.98,10.0
Male,Psychology,21,False,10.4,70.8,7.26,8.06
Female,Electrical Engineering,23,False,15.1,67.1,5.65,7.56
Female,Nuclear Sciences,18,False,23.2,71.8,8.03,10.0
Male,Mathematics,24,False,13.0,60.1,5.92,7.3
Male,Nuclear Sciences,22,False,10.2,71.1,7.65,8.31
Female,Mathematics,24,True,13.6,71.5,7.76,9.2
Male,Mathematics,19,False,8.2,55.0,8.47,8.26
Female,Mathematics,21,False,21.9,80.0,9.46,10.0
Female,Psychology,20,False,10.9,61.2,6.0,7.06
Male,Computer Science,24,True,,70.9,7.44,8.22
Male,Psychology,18,False,5.8,81.6,7.2,7.54
Female,Psychology,19,False,15.5,79.3,,9.5
Male,Electrical Engineering,18,False,14.3,70.3,7.74,8.97
Male,Electrical Engineering,23,False,7.5,66.4,7.11,7.43
Female,Mathematics,22,True,12.9,79.5,7.02,8.74
Female,Mathematics,20,False,2.5,,6.27,6.3
Female,Mathematics,18,False,10.9,63.8,8.59,8.92
Female,Computer Science,21,False,12.3,62.1,8.01,8.69
Male,Computer Science,23,False,18.5,49.3,,9.72
Male,Mathematics,23,True,6.1,71.5,7.16,7.66
Female,Mathematics,20,False,3.6,69.2,6.78,6.67
Female,Nuclear Sciences,23,False,5.5,81.4,6.31,6.87
Male,Psychology,21,False,3.3,73.6,7.89,7.49
Female,Mathematics,18,False,16.7,83.3,6.36,8.62
Male,Psychology,20,False,17.7,63.0,9.53,10.0
Male,Computer Science,23,False,11.6,81.4,6.06,7.61
Male,Mathematics,23,True,16.1,64.7,7.8,9.47
Male,Psychology,21,False,10.7,77.8,9.22,9.61
Male,Mathematics,22,False,9.5,55.4,8.16,8.24
Male,Mathematics,22,False,8.3,72.4,7.69,8.08
Male,Nuclear Sciences,24,False,8.4,50.2,,6.76
Female,Electrical Engineering,23,False,2.3,67.3,5.98,5.88
Female,Psychology,18,False,11.3,74.4,8.35,9.03
Female,Psychology,20,False,9.8,64.8,9.16,9.18
Female,Psychology,23,True,13.7,59.5,7.02,8.46
Male,Computer Science,19,False,,78.5,6.25,7.52
Male,Mathematics,20,True,9.2,69.0,4.8,6.42
Female,Computer Science,24,False,5.6,65.1,6.42,6.64
Male,Mathematics,22,True,10.4,70.4,7.37,8.43
Female,Psychology,23,False,13.7,96.4,9.26,10.0
Male,Computer Science,21,False,4.3,81.5,8.24,8.04
Female,Nuclear Sciences,19,False,10.4,81.6,7.84,8.68
Male,Nuclear Sciences,23,False,11.2,74.4,7.06,8.11
Female,Electrical Engineering,24,False,6.4,71.7,6.86,7.2
